,age_building,count_floors_pre_eq,height_ft_pre_eq,plinth_area_sq_ft,land_surface_condition,foundation_type,roof_type,ground_floor_type,other_floor_type,position,plan_configuration,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_cement_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,condition_post_eq,has_geotechnical_risk,has_geotechnical_risk_fault_crack,has_geotechnical_risk_flood,has_geotechnical_risk_land_settlement,has_geotechnical_risk_landslide,has_geotechnical_risk_liquefaction,has_geotechnical_risk_other,has_geotechnical_risk_rock_fall,damage_grade
307341,15,3,20,450,0,1,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
173249,50,1,8,572,0,2,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
341100,0,1,10,940,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
85214,40,2,16,804,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
293694,37,3,18,380,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
517523,22,2,21,245,0,1,1,2,2,3,0,0,1,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,1,2
474157,22,2,14,231,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
182392,4,2,14,232,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
285704,20,2,13,284,0,2,1,2,2,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,4
199738,12,2,17,240,0,3,2,2,1,3,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,3
340129,5,1,9,460,1,2,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
504089,50,2,14,365,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
249130,15,2,15,620,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
6428,7,3,20,506,0,2,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
534985,25,2,24,320,0,2,1,2,2,3,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2
179800,13,3,18,476,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,3
541840,30,3,30,680,0,2,1,2,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
288187,6,3,21,440,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
302085,14,3,23,710,1,2,2,2,1,3,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,3
340817,25,3,22,480,0,2,2,2,1,3,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4
332825,11,3,18,672,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
42297,8,2,16,640,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
134360,24,2,18,480,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
594642,19,2,18,462,0,2,1,2,2,3,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
132859,50,3,22,350,1,2,1,2,2,3,0,1,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,3
477966,40,2,16,450,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
114198,70,3,21,650,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
587699,15,2,22,550,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
359644,12,2,19,384,0,2,1,2,2,3,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4
69694,49,3,18,470,0,1,1,2,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
551508,5,2,14,250,2,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
92246,8,2,20,728,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
206715,12,2,20,400,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1
539071,22,2,20,570,0,2,1,2,1,3,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3
557942,25,2,18,490,1,2,1,2,2,3,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,3
551854,6,2,16,360,0,3,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2
284002,15,2,12,300,0,2,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
307097,11,2,18,256,0,2,1,2,1,3,2,0,1,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,3
194472,27,2,22,480,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
297344,5,2,14,352,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
418369,35,3,25,378,0,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
254212,25,2,20,679,0,2,2,2,2,3,0,0,1,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,2
156547,25,2,12,450,0,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
132369,30,2,16,450,0,2,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1
576930,14,2,14,320,0,4,1,3,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4
190736,25,1,7,150,0,2,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
522624,13,2,14,350,0,3,2,2,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106581,4,2,17,289,0,2,1,2,1,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
510508,20,3,20,600,0,2,1,2,2,3,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4
212358,25,2,18,200,0,3,2,2,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
247461,6,2,20,600,0,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
467462,37,3,23,350,0,2,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
94839,37,2,17,396,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119775,31,3,18,680,0,2,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
169324,45,2,20,936,0,2,2,2,2,3,0,1,1,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,4
124876,31,2,18,330,2,2,1,2,1,3,0,0,1,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,4
408900,25,2,12,350,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
290658,6,3,18,304,1,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
53676,20,2,16,400,0,2,1,2,2,3,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
548541,15,2,14,304,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3
92550,24,2,14,489,0,2,1,2,2,3,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2
90757,47,3,18,684,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
131337,8,1,10,600,0,1,1,1,3,3,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1
514835,21,2,15,216,0,2,2,2,1,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
318809,20,2,12,260,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,1,4
429150,35,3,27,478,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
306863,6,6,72,640,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,4
79962,20,1,7,270,2,2,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
434564,12,1,18,290,0,2,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
558357,21,1,11,209,0,2,2,2,3,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2
477886,20,2,14,150,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,3
376243,53,2,21,604,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2
465274,8,2,14,300,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,4
448975,27,3,21,280,0,2,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,3
25967,32,2,17,475,0,2,1,2,1,3,0,0,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,3
131332,17,2,18,550,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2
427436,6,1,15,315,0,2,1,2,3,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
163867,80,4,26,200,0,2,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
180233,17,3,15,516,1,2,2,2,2,3,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,2
315081,27,1,6,390,0,2,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,1,4
344264,37,1,12,450,0,2,1,2,3,3,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,4
489079,9,1,6,275,1,2,1,1,3,3,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1
480949,18,2,12,304,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
102869,999,3,18,459,0,2,1,2,2,3,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2
410117,4,2,18,75,1,2,1,2,1,3,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,4
407864,15,2,16,292,0,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3
106128,50,2,16,700,0,2,1,2,1,3,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
480659,4,1,7,294,0,2,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
113392,7,4,38,950,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2
60075,30,2,12,475,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
246493,5,3,28,405,1,2,2,2,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
43465,75,2,14,344,0,2,1,1,2,3,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
38870,50,2,14,500,1,2,1,2,1,3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
427890,21,3,21,262,0,2,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4
235965,16,2,22,594,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
341835,20,1,6,403,2,2,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
574570,50,1,9,300,1,2,1,2,3,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2
33742,1,1,10,265,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
395027,1,1,10,532,1,2,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
415259,12,2,20,425,2,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
568415,24,2,18,600,0,2,1,2,2,3,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2
240294,27,2,16,400,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,3
365693,50,2,18,350,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
71118,25,3,18,540,1,2,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
95610,40,2,13,477,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
577788,3,2,18,155,1,2,1,2,2,3,0,0,1,1,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,3
1974,7,2,14,360,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
469672,5,2,11,299,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
469932,9,2,10,290,0,2,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
414211,7,4,36,210,0,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
532079,13,1,10,480,0,1,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468694,15,2,15,264,1,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
128401,60,3,18,580,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
568106,19,2,15,700,0,2,1,2,2,3,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3
164312,18,3,28,729,0,0,0,1,0,3,2,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,1
222975,30,2,25,625,0,2,2,2,2,3,0,1,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2
556115,11,2,12,229,0,2,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
10297,38,2,12,600,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3
483741,11,2,12,306,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
212826,15,2,19,425,0,3,2,2,2,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
280285,8,2,14,651,0,2,2,2,1,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
326438,85,3,18,351,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
219550,3,2,14,200,0,1,2,1,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
394408,18,2,18,454,2,2,1,2,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
290797,6,3,21,180,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
443061,22,2,12,300,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
222060,6,1,7,380,0,3,2,1,3,3,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,2
163720,60,5,50,300,0,2,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2
521917,20,2,20,700,1,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
281017,25,2,18,320,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
330477,1,2,16,315,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
42879,37,2,15,284,1,2,1,2,2,3,0,0,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,2
441882,10,3,21,400,0,2,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4
401286,58,2,19,576,0,2,2,2,2,3,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2
430827,60,3,21,190,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
137356,30,2,16,700,1,2,1,1,2,3,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3
35053,15,1,10,220,0,3,1,2,3,3,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4
405039,38,3,24,244,0,2,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2
395393,28,2,16,382,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
598244,11,2,18,840,0,2,2,2,1,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
241698,4,3,21,449,0,1,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
8806,18,2,13,363,1,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479804,20,1,10,265,0,2,1,2,3,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,3
595355,32,2,14,560,1,2,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2
282576,44,3,19,405,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
41882,31,2,15,350,0,2,1,2,2,3,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1
189952,46,1,7,286,0,2,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
56262,15,2,16,785,0,2,1,1,2,3,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
60410,16,2,20,476,0,2,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
155333,80,3,21,300,0,2,2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
65135,5,1,8,250,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195788,15,2,15,285,0,3,2,2,2,3,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,2
239099,30,3,24,800,0,2,1,2,1,3,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,4
139608,100,3,32,224,0,2,1,2,2,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3
29751,12,1,9,315,0,2,2,2,3,3,2,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,2
238424,30,1,8,186,1,2,1,2,3,3,0,0,1,0,0,0,0,1,0,0,0,6,1,0,0,1,0,0,0,0,1
92166,10,3,28,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
40276,40,2,12,230,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
568668,2,1,8,375,0,2,1,2,3,3,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1
235580,6,2,15,540,0,2,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
275711,11,3,21,304,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
331930,8,3,19,310,2,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
57618,25,2,12,285,1,2,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
372072,20,2,22,544,0,2,2,2,2,3,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2
17749,11,1,8,195,0,2,2,1,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
173213,22,2,20,364,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,3
25454,18,2,15,325,0,2,1,1,1,3,0,0,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,3
80667,60,2,13,380,0,2,1,2,2,3,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,3
343890,28,3,21,334,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
85922,12,2,14,205,0,2,1,2,2,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
389551,47,2,12,297,0,2,2,2,2,3,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2
169991,40,3,21,600,0,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
264438,24,3,27,356,0,1,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
270664,10,3,17,234,0,2,2,1,2,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
71050,32,3,18,634,0,2,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
393412,47,2,22,550,1,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
353164,65,3,21,350,0,2,1,1,2,1,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,3
163846,65,4,35,350,0,2,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2
510592,12,2,14,315,0,2,1,2,2,3,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4
194801,12,2,8,210,0,3,1,2,2,3,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,3
414756,27,3,18,351,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2
